Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux          OMC        SNR
258    916.67   1287.3   3.884    3.604    -1.053   16.58    11622.1       7.371      99.43
259    527.29   670.29   3.75     3.566    -1.29    16.586   11554.8       7.031      108.4
260    548.25   451.36   3.438    3.404    0.4962   16.595   11458.7       27.1       31.88
261    321.5    58.997   3.932    3.565    0.8364   16.596   11449.5       21.01      34.3
262    23.932   178.8    4.002    3.355    -0.1099  16.61    11308.2       62.99      11.8
263    1064     729.65   3.839    3.676    -1.442   16.612   11278.2       7.017      100.5
264    601.75   175.7    3.708    3.453    0.245    16.613   11275.5       43.62      17.81
265    192.33   160.94   7.443    4.519    -0.2246  16.621   11188.2       45.15      6.502
266    378.38   131.14   11.06    3.864    1.441    16.631   11088.4       34.96      6.551
267    850.94   1138.8   3.803    3.623    -0.9918  16.636   11040.7       20.23      34.96
268    1101     154.05   3.897    3.609    -1.145   16.659   10809.3       7.365      92.11
269    395.04   247.15   9.065    3.803    0.2828   16.662   10771.6       32.92      8.378
270    237.29   83.52    3.282    3.053    0.7081   16.664   10756.7       154.7      6.126
271    72.104   1928     4.193    3.626    -0.7155  16.669   10706.5       9.186      67.65
272    358.55   543.91   4.186    3.8      0.9445   16.671   10688.6       14.68      40.39
273    304.78   1755.6   3.743    3.721    1.509    16.672   10679.4       9.763      69.31
274    995.26   182.23   3.712    3.527    -1.225   16.673   10662.2       6.434      111.7
275    202.34   16.813   4.84     3.711    0.2684   16.677   10630.7       58.41      8.942
276    252.08   190.86   3.52     3.351    1.007    16.678   10612.7       70.77      11.22
277    330.87   209.87   2.922    2.857    0.7332   16.686   10535.2       254.5      4.375
278    218.49   146.95   3.588    3.406    0.861    16.697   10430.9       44.78      16.82
279    202.35   126.24   5.944    4.811    -0.6348  16.708   10323.6       52.05      6.123
280    246.89   86.878   3.651    3.306    -0.7881  16.713   10279.8       141.6      5.307
281    619.53   1433.9   3.812    3.6      -0.2515  16.715   10258.1       20.6       32.03
282    112.25   462.26   8.594    5.521    1.179    16.718   10235.5       15.66      12.16
283    291.92   284.39   5.49     3.796    1.411    16.719   10223.8       41.53      10.43
284    537.46   1060.9   4.175    3.598    -0.8847  16.733   10094.9       11.43      51.89
285    252.22   257.16   5.717    3.888    -0.5055  16.746   9974.61       33.95      11.67
286    1347.6   162.47   3.798    3.524    -1.253   16.748   9957.92       6.074      108.1
287    34.128   313.78   5.985    4.401    -0.8049  16.751   9930.82       35.72      9.315
288    844.76   40.649   3.678    3.484    -0.9437  16.768   9769.06       13.08      51.45
289    682.38   467.68   3.718    3.541    -1.038   16.77    9752.08       9.429      69.33
290    70.663   385.98   4.284    3.52     0.9443   16.771   9749.73       31.62      18.05
291    111.51   568.3    9.367    4.766    -0.2113  16.774   9721.53       22.46      8.558
292    447.1    723.55   3.714    3.555    -0.8456  16.775   9712.45       7.06       91.94
293    1136.4   568.45   3.728    3.643    -1.549   16.782   9651.57       5.751      109.1
294    243.9    600.79   10.43    3.861    -0.04469 16.804   9450.74       30.02      6.897
295    368.74   221.64   5.481    4.367    -0.9999  16.813   9379.63       44.27      7.811
296    261.67   93.02    8.619    4.902    -1.243   16.818   9331.42       42.91      4.543
297    966.7    1451.4   3.906    3.692    -1.262   16.819   9321.14       6.791      83.99
298    311.98   148.7    5.975    4.102    0.593    16.82    9316.26       32.46      10.33
299    1429.2   311.62   3.822    3.59     -1.32    16.824   9278.17       5.319      112.2
300    607.24   126.91   3.794    3.678    -1.284   16.828   9249.27       12.36      47.33
301    754.63   105.77   3.756    3.514    -1.062   16.828   9248.6        5.438      113.7
302    283.52   557.91   3.575    3.503    0.8477   16.828   9246.68       96.7       6.738
303    218.07   531.81   3.571    3.515    -1.296   16.834   9197.79       38.05      17
304    1722     1179.9   3.787    3.63     -1.201   16.839   9154.74       5.717      102.8
305    377.24   502.19   3.763    3.634    -1.566   16.839   9151.79       8.965      65.88
306    63.214   329.91   3.501    3.427    0.2188   16.849   9066.59       22.45      29.71
307    189.87   934.1    3.74     3.51     -0.6648  16.852   9047.24       11.82      51.44
308    116.44   859.31   4.306    3.523    -0.99    16.856   9010.71       14.57      35.99
309    35.271   215.4    3.98     3.529    -1.548   16.86    8980.39       39.94      14.13
310    891.05   339.25   3.554    3.516    1.017    16.862   8965.85       6.241      101.5
311    625.25   140.29   3.655    3.473    1.471    16.874   8861.16       31.12      19.8
312    933.15   53.111   3.799    3.584    -1.178   16.877   8841.27       4.549      126
