# ID  jfk    jdf     V      uncV   B_V   B_VUn
 411   88.65  245.18 19.761 0.006  0.491 0.008
 412  143.84  749.03 19.763 0.006  0.480 0.008
 413  437.21 1395.19 19.766 0.006  0.476 0.008
 414  358.01  152.20 19.767 0.006  0.484 0.008
 415   74.65  612.03 19.769 0.006  0.472 0.008
 416  376.53   37.61 19.771 0.006  0.462 0.009
 417  433.31 1984.61 19.772 0.006  0.480 0.009
 418  241.28 1565.73 19.772 0.006  0.488 0.008
 419   62.28  282.95 19.777 0.006  0.473 0.009
 420 1978.07 1958.63 19.778 0.007  0.495 0.009
 421  680.07  642.47 19.780 0.006  0.450 0.008
 422  104.10  646.15 19.782 0.006  0.471 0.008
 423 1460.81  692.79 19.784 0.006  0.475 0.008
 424 1786.19  883.52 19.784 0.006  0.464 0.008
 425   53.27  652.54 19.785 0.006  0.464 0.008
 426  199.07 1319.61 19.788 0.006  0.477 0.008
 427 1136.96  356.44 19.792 0.006  0.476 0.008
 428 1043.46  620.76 19.794 0.006  0.462 0.008
 429  450.13  502.14 19.799 0.006  0.471 0.008
 430 1468.36  295.29 19.800 0.006  0.489 0.008
 431  672.84  311.93 19.803 0.008  0.505 0.011
 432 1307.91 1434.85 19.809 0.006  0.470 0.008
 433  808.72  602.13 19.812 0.006  0.465 0.008
 434  352.19 1029.21 19.813 0.006  0.469 0.008
 435  183.17  908.33 19.814 0.006  0.489 0.008
 436  993.17 1367.52 19.815 0.006  0.421 0.008
 437  287.26  497.40 19.816 0.007  0.513 0.009
 438   59.79  358.08 19.816 0.007  0.507 0.009
 439  178.53   78.27 19.817 0.006  0.473 0.008
 440  987.10 1749.34 19.821 0.006  0.472 0.008
 441  367.69 1151.05 19.821 0.006  0.485 0.008
 442  625.62  351.00 19.826 0.006  0.496 0.008
 443  891.65  850.27 19.830 0.006  0.478 0.008
 444  998.12   83.02 19.835 0.007  0.475 0.010
 445  669.44  472.91 19.837 0.006  0.491 0.008
 446   55.33  507.16 19.842 0.006  0.469 0.008
 447  493.86  145.51 19.845 0.006  0.473 0.008
 448    3.86 1136.67 19.848 0.008  0.459 0.011
 449    5.91   81.27 19.850 0.009  0.452 0.013
 450  113.92  120.31 19.850 0.007  0.435 0.011
 451 1747.12   65.01 19.850 0.006  0.493 0.008
 452  470.34  412.97 19.854 0.006  0.481 0.008
 453  352.65  660.77 19.857 0.006  0.490 0.009
 454   57.86 1288.54 19.858 0.006  0.482 0.008
 455  763.66  876.30 19.860 0.006  0.480 0.008
 456  673.66  784.30 19.860 0.006  0.456 0.009
 457  142.97  384.80 19.860 0.006  0.493 0.009
 458 1022.99 1905.07 19.861 0.006  0.513 0.008
 459 1362.38  156.97 19.863 0.006  0.484 0.008
 460 1720.98  382.44 19.864 0.006  0.485 0.008
 461  203.51  587.93 19.865 0.006  0.514 0.008
 462  261.39  548.13 19.868 0.006  0.493 0.008
 463 2017.36 1119.68 19.870 0.006  0.567 0.009
 464 1059.48  825.13 19.872 0.006  0.478 0.008
 465  913.45 1198.61 19.875 0.006  0.464 0.008
 466  104.49  594.26 19.876 0.006  0.487 0.008
 467   48.35 1010.43 19.877 0.006  0.473 0.009
 468 1049.66  514.67 19.879 0.007  0.481 0.009
