# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
 247 1011.07 1657.11  14.796   0.001  15.051   0.001  14.423   0.002   0.908  -0.020
 248 1437.10  964.07  14.840   0.005  15.549   0.003  13.888   0.005   0.913   0.007
 249 1098.68  571.50  14.810   0.001  15.157   0.001  14.313   0.002   0.920  -0.033
 250 1057.45  739.95  14.795   0.001  15.396   0.001  14.088   0.001   0.908  -0.063
 251 1119.12  488.28  14.839   0.001  15.597   0.001  13.853   0.001   0.923  -0.081
 252 1141.86  262.44  14.884   0.001  15.483   0.001  13.925   0.001   0.907  -0.124
 253 1160.44  843.05  14.825   0.001  15.845   0.001  13.622   0.001   0.941   0.046
 254 1742.38  851.08  14.826   0.001  15.838   0.001  13.632   0.001   0.931  -0.134
 255  585.28 1217.01  14.832   0.001  15.805   0.001  13.661   0.001   0.931   0.023
 256  511.12  423.27  14.835   0.001  15.891   0.001  13.574   0.001   0.968   0.076
 257  674.60 1169.40  14.886   0.001  15.299   0.001  14.117   0.001   0.906  -0.081
 258 1197.22  892.29  14.815   0.008  15.170   0.005  14.309   0.001   0.958  -0.020
 259  869.91 1398.63  14.819   0.001  15.584   0.001  13.907   0.001   0.880  -0.016
 260  957.97 1111.10  14.830   0.001  15.447   0.001  14.037   0.001   0.893  -0.051
 261 1060.46  702.81  15.058   0.001  15.273   0.001  13.984   0.001   0.956   0.068
 262  864.48 1577.03  14.815   0.001  15.054   0.001  14.458   0.002   0.913  -0.005
 263  874.64  485.43  14.863   0.001  15.541   0.001  13.934   0.001   0.915  -0.126
 264 1279.67 1601.39  14.834   0.001  15.551   0.001  13.957   0.001   0.893  -0.001
 265  870.02 1215.59  14.827   0.001  15.117   0.001  14.408   0.002   0.908  -0.083
 266 1345.27 1162.74  14.866   0.001  15.568   0.001  13.920   0.001   0.909  -0.074
 267  870.61  990.72  14.831   0.010  15.170   0.000  14.354   0.001   0.939  -0.130
 268 1310.05  174.66  14.845   0.001  15.266   0.001  14.257   0.001   0.908  -0.012
 269 1205.53  590.18  14.830   0.001  15.130   0.001  14.410   0.002   0.932  -0.132
 270  998.70 1586.74  14.859   0.001  15.848   0.001  13.667   0.001   0.897  -0.077
 271  750.17  587.02  14.795   0.001  15.602   0.001  13.982   0.001   0.914  -0.028
 272 1623.80 1034.62  14.850   0.001  15.210   0.001  14.332   0.002   0.940  -0.123
 273 1200.72  909.01  14.878   0.008  15.934   0.010  13.622   0.001   0.911   0.060
 274 1033.04 1017.17  14.868   0.006  15.910   0.007  13.638   0.003   0.965  -0.167
 275 2178.38 1168.70  14.813   0.002  16.084   0.002  13.506   0.003   1.187  -0.068
 276  977.01  560.24  14.871   0.001  15.454   0.001  14.083   0.001   0.903  -0.075
 277  974.18  937.90  14.866   0.117  15.435   0.058  13.990   0.021   0.927   0.027
 278 1728.89  499.99  14.871   0.001  15.870   0.001  13.690   0.001   0.930  -0.138
 279 1027.83  358.22  14.777   0.001  15.599   0.001  14.064   0.001   0.892  -0.103
 280  991.78 1158.29  14.863   0.001  15.189   0.001  14.394   0.002   0.906  -0.084
 281 1336.45  528.75  14.883   0.001  15.929   0.001  13.634   0.001   0.901  -0.014
 282  557.17  917.40  14.917   0.085  15.808   0.005  13.750   0.005   1.102   0.251
 283 1701.16  159.45  14.880   0.001  15.379   0.001  14.200   0.001   0.891  -0.078
 284  727.64  374.49  14.892   0.001  15.943   0.001  13.646   0.001   0.905  -0.141
 285  988.78  178.78  14.931   0.001  15.594   0.001  13.993   0.001   0.878  -0.076
 286 1567.13  168.45  14.952   0.001  15.439   0.001  14.128   0.001   0.908   0.035
