# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0141 17 37 17.89  -3  9 46.02 22.055 0.023 20.995 0.017 -0.048
ID-0142 17 37 17.89  -3 16 21.62 22.676 0.045 21.738 0.044  0.006
ID-0143 17 37 17.93  -3 11 26.08 23.248 0.053 21.984 0.047 -0.041
ID-0144 17 37 17.95  -3 10 33.32 22.582 0.038 21.719 0.033 -0.048
ID-0145 17 37 17.96  -3 18 30.11 22.451 0.041 21.415 0.029 -0.001
ID-0146 17 37 17.97  -3 12 34.71 22.300 0.025 21.297 0.025 -0.050
ID-0147 17 37 17.97  -3 18 41.30 21.627 0.016 20.653 0.015 -0.001
ID-0148 17 37 17.99  -3 13 35.65 21.836 0.022 20.883 0.016 -0.032
ID-0149 17 37 17.99  -3 14 12.84 23.181 0.048 22.066 0.048 -0.032
ID-0150 17 37 18.01  -3 13 50.84 22.261 0.024 21.314 0.022 -0.032
ID-0151 17 37 18.01  -3 18 59.16 22.830 0.049 21.665 0.034 -0.006
ID-0152 17 37 18.02  -3 12 48.59 23.016 0.040 21.857 0.038 -0.050
ID-0153 17 37 18.03  -3 12 53.77 22.803 0.042 21.689 0.034 -0.050
ID-0154 17 37 18.03  -3 15 11.34 22.610 0.035 21.538 0.030 -0.022
ID-0155 17 37 18.04  -3 14  6.85 21.162 0.013 20.158 0.008 -0.032
ID-0156 17 37 18.04  -3 16  5.13 22.774 0.040 21.720 0.039 -0.022
ID-0157 17 37 18.05  -3 11 46.83 21.449 0.014 20.398 0.010 -0.041
ID-0158 17 37 18.05  -3 15  7.91 21.385 0.012 20.368 0.012 -0.022
ID-0159 17 37 18.05  -3 16  7.72 21.317 0.013 20.289 0.012  0.006
ID-0160 17 37 18.07  -3 15 35.46 22.129 0.022 21.129 0.025 -0.022
ID-0161 17 37 18.07  -3 14 55.59 22.581 0.040 21.525 0.032 -0.022
ID-0162 17 37 18.08  -3 12  4.98 23.191 0.053 22.078 0.037 -0.041
ID-0163 17 37 18.08  -3 13 39.99 22.640 0.040 21.688 0.036 -0.032
ID-0164 17 37 18.10  -3 17 12.94 21.444 0.018 20.481 0.012  0.006
ID-0165 17 37 18.13  -3 12 55.61 22.538 0.032 21.488 0.027 -0.050
ID-0166 17 37 18.15  -3 19 24.45 22.392 0.032 21.358 0.025 -0.006
ID-0167 17 37 18.16  -3 20 25.22 22.904 0.051 21.878 0.036  0.013
ID-0168 17 37 18.19  -3 16 39.82 21.373 0.015 20.248 0.011  0.006
ID-0169 17 37 18.20  -3 11 47.69 22.780 0.042 21.528 0.027 -0.041
ID-0170 17 37 18.20  -3 16 51.17 20.503 0.006 19.359 0.006  0.006
ID-0171 17 37 18.20  -3 18 40.21 21.359 0.014 20.331 0.012 -0.001
ID-0172 17 37 18.21  -3 15 18.96 22.778 0.043 21.779 0.043 -0.022
ID-0173 17 37 18.21  -3 20 39.37 22.608 0.045 21.457 0.038  0.013
ID-0174 17 37 18.22  -3 13 55.84 17.751 0.001 16.555 0.001 -0.032
ID-0175 17 37 18.22  -3 14  8.54 23.117 0.056 22.046 0.044 -0.032
ID-0176 17 37 18.22  -3 16 56.37 21.410 0.014 20.326 0.010  0.006
ID-0177 17 37 18.23  -3 19 57.50 20.692 0.010 19.511 0.007 -0.006
ID-0178 17 37 18.24  -3 14 40.07 19.312 0.003 17.788 0.002 -0.032
ID-0179 17 37 18.24  -3 17  8.37 21.965 0.027 20.441 0.011  0.006
ID-0180 17 37 18.25  -3 12 34.46 21.950 0.018 20.970 0.016 -0.050
ID-0181 17 37 18.27  -3 16 53.42 22.178 0.032 21.215 0.023  0.006
ID-0182 17 37 18.28  -3 17 41.43 22.403 0.031 21.361 0.028 -0.001
ID-0183 17 37 18.28  -3 21 24.74 22.095 0.032 20.961 0.018  0.013
ID-0184 17 37 18.32  -3 19 10.67 22.427 0.040 21.419 0.028 -0.006
ID-0185 17 37 18.33  -3 11 42.34 20.792 0.008 19.623 0.007 -0.041
ID-0186 17 37 18.34  -3 13 32.44 19.880 0.005 18.693 0.004 -0.032
ID-0187 17 37 18.35  -3 17 53.22 18.122 0.002 16.716 0.002 -0.001
ID-0188 17 37 18.38  -3 10 26.23 22.070 0.021 21.116 0.022 -0.048
ID-0189 17 37 18.38  -3 11 19.10 21.682 0.015 20.706 0.014 -0.041
ID-0190 17 37 18.38  -3 15 39.54 21.440 0.013 20.372 0.011 -0.022
ID-0191 17 37 18.39  -3 10 54.77 20.120 0.006 19.157 0.005 -0.041
ID-0192 17 37 18.39  -3 13  4.71 22.889 0.041 21.884 0.036 -0.050
ID-0193 17 37 18.39  -3 15 56.55 21.888 0.022 20.893 0.018 -0.022
ID-0194 17 37 18.39  -3 18  4.09 22.808 0.044 21.605 0.037 -0.001
ID-0195 17 37 18.41  -3 20 48.08 22.105 0.031 21.190 0.023  0.013
ID-0196 17 37 18.42  -3 11  7.16 22.637 0.038 21.572 0.032 -0.041
ID-0197 17 37 18.42  -3 13 25.40 22.498 0.033 21.487 0.027 -0.050
ID-0198 17 37 18.43  -3 15  2.89 21.690 0.019 20.708 0.014 -0.022
ID-0199 17 37 18.43  -3 15 26.24 22.667 0.040 21.695 0.032 -0.022
ID-0200 17 37 18.44  -3 13 58.08 22.582 0.036 21.566 0.036 -0.032
ID-0201 17 37 18.45  -3 15 35.35 21.685 0.016 20.693 0.017 -0.022
ID-0202 17 37 18.46  -3 15  0.83 22.925 0.051 21.992 0.046 -0.022
ID-0203 17 37 18.46  -3 18 16.14 22.335 0.030 21.329 0.030 -0.001
ID-0204 17 37 18.49  -3 12 59.19 22.576 0.040 21.563 0.032 -0.050
ID-0205 17 37 18.51  -3  8 34.72 23.088 0.059 22.048 0.047  0.002
ID-0206 17 37 18.51  -3 12 40.07 22.605 0.033 21.646 0.030 -0.050
ID-0207 17 37 18.52  -3 13 52.35 21.680 0.021 20.701 0.012 -0.032
ID-0208 17 37 18.52  -3 17 24.87 22.751 0.047 21.691 0.044  0.006
ID-0209 17 37 18.53  -3 13  6.50 22.283 0.028 21.309 0.022 -0.050
ID-0210 17 37 18.55  -3 11 21.87 21.942 0.018 20.874 0.018 -0.041
ID-0211 17 37 18.58  -3 14 29.36 22.074 0.024 21.040 0.020 -0.032
ID-0212 17 37 18.59  -3 12 25.35 21.209 0.010 20.067 0.010 -0.050
ID-0213 17 37 18.60  -3  9  8.59 22.592 0.036 21.359 0.023  0.002
ID-0214 17 37 18.61  -3  9  6.16 22.214 0.033 21.155 0.022  0.002
ID-0215 17 37 18.61  -3 17 10.33 21.315 0.015 20.332 0.014  0.006
ID-0216 17 37 18.62  -3 15 41.34 22.715 0.044 21.655 0.040 -0.022
ID-0217 17 37 18.62  -3 15  8.00 22.734 0.041 21.721 0.032 -0.022
ID-0218 17 37 18.64  -3 13 41.46 22.915 0.042 21.948 0.041 -0.032
ID-0219 17 37 18.67  -3 13  1.10 22.401 0.032 21.384 0.023 -0.050
ID-0220 17 37 18.72  -3 16 45.43 22.876 0.054 21.851 0.040  0.006
