#Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
221    246.92   86.922   4.036    3.538    -0.5971  16.004   3395.28   25.69  8.167
222    117.46   1213.9   4.441    4.044    -0.9585  16.038   3287.96   3.431  47.09
223    46.903   165.33   4.062    3.587    1.019    16.041   3281.54   32.91  6.039
224    855.83   749.77   4.128    3.938    -1       16.046   3264.6    2.748  64.48
225    37.685   235.12   4.34     4.176    1.241    16.057   3231.91   4.642  33.9
226    254.75   324.45   4        3.778    -0.9048  16.058   3229.38   6.074  31.04
227    183.02   129.51   4.404    3.694    -0.2836  16.072   3187.23   28.56  6.055
228    1096.2   195.37   4.089    3.933    -0.3161  16.076   3175.89   3.025  57.62
229    204.67   443.65   3.915    3.733    -0.7907  16.084   3152.81   5.546  34.32
230    261.2    342.32   3.925    3.858    -0.5385  16.087   3144.49   7.187  25.5
231    176.77   139.11   4.789    4.562    -0.2209  16.087   3143.82   17.45  7.276
232    31.298   457.21   3.797    3.658    0.7587   16.101   3104.52   9.915  19.9
233    41.996   600.31   5.372    4.259    0.2425   16.103   3098.28   4.879  24.5
234    112.21   462.3    9.038    6.466    1.132    16.104   3095.16   3.768  12.41
235    590.57   316.22   3.941    3.832    -0.4023  16.11    3078.57   5.794  31.04
236    64.198   45.234   9.04     4.071    -0.1259  16.12    3049.52   11.58  6.315
237    830.7    1607.7   4.259    3.981    -0.5518  16.129   3023.79   3.122  50.42
238    325.57   524.01   3.842    3.672    -0.8023  16.13    3020.81   10.27  18.4
239    189.47   72.89    4.796    3.59     0.565    16.131   3018.31   22.5   6.875
240    1317.4   332.37   4.182    3.979    -0.4772  16.138   3000.18   2.564  62.06
241    138.22   242.65   4.231    3.634    -1.087   16.141   2990.65   21.32  8.052
242    919.66   379.74   3.998    3.841    -0.2993  16.143   2986.78   3.464  49.56
243    779.08   98.32    3.941    3.807    -0.7437  16.156   2949.69   4.783  36.28
244    792.71   112.18   3.982    3.774    -0.1708  16.159   2941.78   4.741  36.44
245    602.06   175.86   5.307    3.776    0.2275   16.161   2936.25   11.49  11.25
246    522.36   333.37   4.378    3.925    -0.7871  16.173   2905.89   4.96   30.09
247    984.09   493.67   3.956    3.865    -0.7967  16.179   2889      2.766  60.27
248    134.77   331.89   4.681    3.89     -1.432   16.179   2888.72   8.486  16.5
249    764.1    216.76   4.166    4.007    -0.273   16.192   2853.54   3.39   44.51
250    732.22   597.43   4.091    4.048    1.213    16.193   2851.04   2.314  65.65
251    494.66   73.772   9.773    5.274    0.07131  16.201   2831      5.628  8.613
252    857.94   810.76   4.232    4.026    -1.414   16.202   2828.16   2.381  61.51
253    158.63   244.93   5.192    3.726    -0.421   16.21    2808.22   10.67  12
254    243.58   600.91   10.64    4.324    -0.04735 16.213   2798.9    7.248  7.407
255    255.71   460.29   9.883    4.389    0.1128   16.224   2771.48   7.371  7.651
256    111.47   568.35   9.58     5.215    -0.2091  16.225   2768.34   5.132  9.53
257    252.24   257.22   6.631    4.299    -0.474   16.241   2727.37   8.666  9.742
258    202.43   126.28   6.147    5.07     -0.5533  16.248   2710.87   10.8   7.106
259    252.77   1289.4   4.065    3.872    -0.6589  16.25    2705.53   2.574  58.93
260    175.68   190.42   5.635    3.899    -0.6745  16.252   2700.01   12.38  8.761
261    239.08   92.362   3.752    3.128    -1.17    16.253   2698.66   31.43  6.457
262    821.15   545.01   4.041    3.912    -0.286   16.256   2692.04   2.549  58.96
263    852.77   774.42   3.289    2.996    -0.8044  16.267   2662.97   52.17  4.573
264    561.56   815.83   4.036    4.002    -0.0129  16.28    2631.48   2.583  55.65
265    321.59   59.066   4.402    3.961    0.487    16.283   2624.33   4.947  26.85
266    312.11   148.68   6.464    4.665    0.5836   16.287   2616.17   7.978  9.597
267    305.88   959.88   4.154    4.095    1.392    16.296   2594.45   2.725  49.4
268    1260.8   590.39   4.09     3.878    -0.7227  16.3     2585.02   3.104  46.34
269    147.83   1440.8   3.985    3.854    -0.1054  16.314   2550.94   3.243  45.21
270    24.161   178.78   4.176    3.495    -0.2819  16.315   2547.9    15.42  9.99
271    1064     729.63   4.045    3.927    -0.5704  16.319   2539.68   2.388  59.07
272    129.25   1022.4   3.929    3.89     -1.432   16.319   2539.61   4.999  29.33
273    548.22   451.4    4.076    3.751    -0.1515  16.321   2534.98   6.711  21.81
274    527.38   670.37   4.09     3.881    -0.17    16.334   2504.59   2.252  61.84
275    261.68   93.124   8.622    5.434    -1.242   16.337   2496.45   9.852  4.773
276    1715.9   235.86   4.047    4        0.9785   16.34    2489.47   2.596  52.29
277    72.066   1928.1   4.421    3.957    -0.7024  16.347   2475.2    2.739  45.59
278    308.09   225.37   3.659    3.603    0.2767   16.35    2466.7    5.131  32.19
279    358.89   607.4    5.063    4.711    0.3366   16.352   2462.67   7.869  11.58
280    358.61   543.99   4.705    4.091    0.5631   16.365   2433.2    3.64   30.65
281    851.09   1138.8   4.148    3.972    -0.9452  16.366   2432.36   4.929  26.44
282    192.4    160.94   7.672    4.585    -0.2     16.374   2413.18   9.045  6.693
283    304.78   1755.6   4.088    4.021    -0.3707  16.382   2396.92   2.33   55.22
284    1100.9   154.02   4.188    3.896    -0.3689  16.393   2371.11   2.62   48.96
285    220.55   389.28   4.084    3.895    -0.2279  16.394   2370.57   5.492  23.95
286    619.6    1433.7   4.535    3.74     -0.05564 16.394   2369.76   5.484  22.48
287    537.45   1061     4.793    4.104    -0.8294  16.398   2361.67   2.852  37.15
288    291.89   284.47   5.901    4.082    1.426    16.403   2350.14   12.58  6.846
289    136.45   89.028   4.243    3.575    0.3019   16.403   2349.67   14.1   9.699
290    207.31   538.69   8.389    4.934    -1.04    16.404   2348.1    11.35  4.411
291    252.15   190.85   3.858    3.675    0.5289   16.419   2316.39   14.47  9.965
292    995.32   182.22   4.086    3.955    -0.6345  16.431   2289.97   2.326  53.78
293    368.36   272.84   5.079    4.57     0.003782 16.436   2280.35   19.79  4.381
294    223.44   275.31   11.47    4.985    1.522    16.44    2270.71   5.697  6.153
295    1197.4   428.34   4.126    3.992    -0.3686  16.443   2264.43   2.121  57.2
296    286.99   116.09   8.818    5.463    1.381    16.45    2251.14   5.43   7.596
297    683.15   504.53   4.648    4.061    -1.218   16.466   2217.34   3.761  27.56
298    447.09   723.65   4.103    3.986    -1.047   16.479   2192.09   2.383  49.64
299    70.765   386.15   4.579    3.792    0.9827   16.479   2191.86   7.335  15.19
300    290.29   349.6    8.108    4.124    -0.4353  16.479   2191.39   7.518  7.693
301    682.42   467.68   4.15     3.946    -0.4156  16.481   2187.09   2.641  44.62
302    1136.3   568.43   4        3.995    0.9763   16.49    2168.64   2.054  58.3
303    844.75   40.705   4.044    3.748    -0.4678  16.491   2166.7    3.583  35.21
304    952.13   48.616   8.675    4.36     -0.3253  16.496   2157.41   4.821  10.44
305    109.31   344.23   3.912    3.729    0.1734   16.5     2148.72   5.624  23.11
306    347.48   724.64   10.89    4.703    1.099    16.501   2147.99   5.434  6.809
307    1722     1179.8   4.209    4.204    -0.5125  16.505   2139.3    2.154  49.54
308    1304.4   1150.4   5.633    4.21     0.853    16.506   2136.72   2.695  29.5
309    122.1    276.86   4.611    3.961    0.1211   16.507   2136.33   8.598  12.01
310    242.76   470.14   5.632    5.14     -0.1316  16.516   2118.09   9.19   7.027
311    79.603   467.33   13.48    5.614    -0.6549  16.519   2111.94   4.841  5.088
312    916.72   1287.2   4.158    4.02     -0.2269  16.522   2105.5    2.159  51.49
313    218.55   147      3.748    3.551    0.1939   16.524   2101.92   10.09  13.81
314    331.03   209.95   3.213    3.007    0.1591   16.531   2089.23   45.8   4.167
315    891.07   339.27   4.103    3.849    -0.4919  16.537   2077.32   2.149  54.02
316    1429.1   311.52   4.122    3.909    -0.6157  16.545   2062.02   2.187  51.66
317    754.59   105.74   4.116    3.949    -0.5681  16.546   2060.96   2.248  49.78
318    549.04   215.16   9.14     4.494    -0.7918  16.548   2055.48   5.259  8.397
319    35.325   215.33   4.337    3.654    -1.311   16.55    2051.85   8.936  12.79
320    298.96   108.19   4.66     4.254    -1.363   16.551   2051.24   7.3    12.51
321    237.28   83.544   3.318    3.259    1.281    16.557   2039.32   33.56  4.958
322    642.45   147.31   4.399    4.076    0.1243   16.559   2035.41   5.22   19.19
323    966.75   1451.3   4.086    3.966    -0.03449 16.56    2033.33   1.946  56.92
